time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m],GPS Sat, ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
88,26.17,998.62,122.51,3.31,-5.37,-94.44,-1.08,11.73,-0.61,-1.08,11.73,-0.61,-1.08,11.73,-0.61,0,0,0,0,0,0,27.57,0.65,-10.01,-0.45,0,-0.01,0,43.65,19.65,-62.85
136,26.17,998.63,122.47,3.31,-5.37,-94.44,-1.07,11.74,-0.86,-1.07,11.74,-0.86,-1.07,11.74,-0.86,0,0,0,0,0,0,27.71,0.73,-9.97,-0.55,-0.01,0.01,0.01,43.65,28.2,-58.35
177,26.17,998.63,122.46,3.31,-5.37,-94.44,-1.01,11.75,-0.7,-1.01,11.75,-0.7,-1.01,11.75,-0.7,0,0,0,0,0,0,27.61,0.7,-9.93,-0.64,-0.02,-0.01,0,43.65,28.2,-58.35
226,26.17,998.63,122.48,3.31,-5.37,-94.44,-1.06,11.75,-0.94,-1.06,11.75,-0.94,-1.06,11.75,-0.94,0,0,0,0,0,0,27.71,0.77,-9.96,-0.73,-0.01,-0.01,0,44.85,27.3,-61.35
268,26.17,998.62,122.5,3.31,-5.37,-94.5,-1.13,11.76,-1.01,-1.13,11.76,-1.01,-1.13,11.76,-1.01,0,0,0,0,0,0,27.61,0.76,-10.03,-0.85,-0.01,0,-0.01,44.85,27.3,-61.35
313,26.18,998.62,122.53,3.37,-5.37,-94.5,-1.11,11.75,-1.13,-1.11,11.75,-1.13,-1.11,11.75,-1.13,0,0,0,0,0,0,27.52,0.79,-9.98,-0.94,0,0.02,0,44.85,27.3,-61.35
356,26.18,998.62,122.51,3.44,-5.37,-94.5,-1.14,11.73,-1.07,-1.14,11.73,-1.07,-1.14,11.73,-1.07,0,0,0,0,0,0,27.37,0.86,-10.01,-0.86,0.01,0.02,0,44.7,25.65,-57.9
397,26.18,998.62,122.5,3.5,-5.37,-94.5,-1.27,11.73,-0.94,-1.27,11.73,-0.94,-1.27,11.73,-0.94,0,0,0,0,0,0,27.61,1.01,-9.84,-0.68,0.02,-0.03,0,44.7,25.65,-57.9
445,26.19,998.62,122.51,3.44,-5.44,-94.44,-1.28,11.75,-0.82,-1.28,11.75,-0.82,-1.25,11.75,-0.9,0,0,0,0,0,0,27.71,0.88,-10.01,-0.66,0.01,0,0.02,41.85,24.15,-59.7
487,26.19,998.63,122.43,3.37,-5.44,-94.44,-1.32,11.73,-0.72,-1.32,11.73,-0.72,-1.32,11.73,-0.72,0,0,0,0,0,0,27.57,0.99,-9.96,-0.53,0,0.01,0.03,41.85,24.15,-59.7
531,26.19,998.63,122.42,3.31,-5.37,-94.37,-1.07,11.76,-0.71,-1.07,11.76,-0.71,-1.07,11.76,-0.71,0,0,0,0,0,0,27.71,0.69,-9.97,-0.51,-0.01,-0.02,0.03,41.55,21.3,-55.95
575,26.19,998.63,122.42,3.19,-5.31,-94.44,-1.03,11.73,-0.89,-1.03,11.73,-0.89,-0.99,11.75,-0.95,0,0,0,0,0,0,27.57,0.66,-9.97,-0.77,-0.02,-0.01,0.02,41.55,21.3,-55.95
617,26.19,998.63,122.46,3.12,-5.25,-94.44,-0.77,11.74,-1.05,-0.77,11.74,-1.05,-0.77,11.74,-1.05,0,0,0,0,0,0,27.71,0.58,-9.98,-0.67,-0.01,0.07,0.01,43.65,16.35,-56.25
667,26.19,998.62,122.49,3.19,-5.19,-94.44,-0.9,11.74,-1.18,-0.9,11.74,-1.18,-0.9,11.74,-1.18,0,0,0,0,0,0,27.71,0.59,-9.97,-1.02,-0.01,0.03,0,43.65,16.35,-56.25
709,26.19,998.63,122.45,3.25,-5.19,-94.5,-1.01,11.76,-0.99,-1.01,11.76,-0.99,-1.01,11.76,-0.99,0,0,0,0,0,0,27.76,0.78,-10.01,-0.75,0,0.02,0,43.65,16.35,-56.25
752,26.19,998.62,122.5,3.25,-5.19,-94.5,-1.12,11.73,-1.13,-1.12,11.73,-1.13,-1.12,11.73,-1.13,0,0,0,0,0,0,27.52,0.75,-9.95,-0.92,0,0,0,45.9,13.95,-59.25
797,26.19,998.62,122.56,3.25,-5.19,-94.5,-1.04,11.76,-0.89,-1.07,11.75,-0.78,-1.07,11.75,-0.78,0,0,0,0,0,0,27.71,0.89,-10.01,-0.79,0.01,-0.01,0,45.9,13.95,-59.25
847,26.19,998.62,122.56,3.25,-5.19,-94.5,-1.15,11.72,-0.86,-1.17,11.72,-0.8,-1.17,11.72,-0.8,0,0,0,0,0,0,27.57,0.87,-10,-0.62,0,0,0.01,46.8,17.4,-60.45
889,26.19,998.6,122.65,3.25,-5.19,-94.44,-1.1,11.74,-0.85,-1.1,11.74,-0.85,-1.1,11.74,-0.85,0,0,0,0,0,0,27.52,0.76,-9.98,-0.69,-0.01,0,0.01,46.8,17.4,-60.45
929,26.19,998.61,122.63,3.25,-5.19,-94.44,-1.14,11.73,-0.8,-1.14,11.73,-0.8,-1.14,11.73,-0.8,0,0,0,0,0,0,27.76,0.84,-10,-0.52,-0.01,0,0.01,46.2,15.15,-59.4
977,26.19,998.62,122.55,3.25,-5.19,-94.44,-1.05,11.73,-0.92,-1.05,11.73,-0.92,-1.05,11.74,-0.96,0,0,0,0,0,0,27.57,0.77,-10.01,-0.77,-0.02,0,0.01,46.2,15.15,-59.4
1019,26.19,998.62,122.54,3.25,-5.19,-94.44,-1.11,11.75,-0.95,-1.11,11.75,-0.95,-1.11,11.75,-0.95,0,0,0,0,0,0,27.71,0.79,-9.99,-0.82,-0.01,0,0,45.45,15.15,-60.15
1068,26.19,998.62,122.49,3.25,-5.19,-94.44,-1.01,11.73,-1.09,-1.08,11.73,-1.06,-1.08,11.73,-1.06,0,0,0,0,0,0,27.61,0.76,-9.99,-0.83,0,0,0,45.45,15.15,-60.15
1109,26.19,998.63,122.47,3.25,-5.19,-94.5,-1.11,11.73,-1.05,-1.11,11.73,-1.05,-1.11,11.73,-1.05,0,0,0,0,0,0,27.57,0.71,-9.95,-0.84,0,0,0,45.45,15.15,-60.15
1151,26.19,998.63,122.47,3.25,-5.19,-94.5,-1.07,11.76,-0.96,-1.07,11.76,-0.96,-1.07,11.76,-0.96,0,0,0,0,0,0,27.52,0.75,-9.99,-0.7,0.01,0.01,0.01,46.5,13.35,-59.1
1200,26.19,998.63,122.43,3.25,-5.19,-94.5,-1.05,11.75,-0.9,-1.05,11.75,-0.9,-1.05,11.75,-0.9,0,0,0,0,0,0,27.52,0.81,-9.98,-0.71,0,0,0,46.5,13.35,-59.1
1242,26.19,998.62,122.5,3.25,-5.19,-94.5,-1.07,11.76,-0.85,-1.07,11.76,-0.85,-1.07,11.76,-0.85,0,0,0,0,0,0,27.71,0.73,-9.93,-0.63,0,-0.01,0,45.75,13.65,-60.45
1290,26.19,998.62,122.5,3.25,-5.19,-94.5,-1.11,11.72,-0.82,-1.11,11.72,-0.82,-1.11,11.72,-0.82,0,0,0,0,0,0,27.57,0.81,-9.98,-0.58,-0.01,-0.01,0,45.75,13.65,-60.45
1332,26.19,998.62,122.56,3.25,-5.19,-94.44,-1.09,11.74,-0.85,-1.09,11.74,-0.85,-1.09,11.74,-0.85,0,0,0,0,0,0,27.61,0.78,-9.95,-0.74,-0.01,-0.01,0,44.55,9.45,-59.85
1377,26.19,998.61,122.63,3.25,-5.19,-94.5,-1.15,11.74,-0.94,-1.15,11.74,-0.94,-1.15,11.74,-0.94,0,0,0,0,0,0,27.71,0.85,-9.98,-0.71,-0.01,-0.01,0,44.55,9.45,-59.85
1420,26.19,998.61,122.64,3.25,-5.19,-94.5,-1.05,11.76,-1.01,-1.05,11.76,-1.01,-1.05,11.76,-1.01,0,0,0,0,0,0,27.61,0.7,-9.96,-0.8,-0.01,0,0.01,33,-3.15,-55.35
1461,26.19,998.61,122.59,3.25,-5.19,-94.5,-0.95,11.74,-1.07,-0.95,11.74,-1.07,-0.95,11.74,-1.07,0,0,0,0,0,0,27.61,0.81,-10.01,-0.7,0,0,0,33,-3.15,-55.35
1510,26.2,998.61,122.59,3.25,-5.19,-94.5,-1.12,11.71,-0.77,-1.12,11.71,-0.77,-1.12,11.71,-0.77,0,0,0,0,0,0,27.57,0.71,-9.91,-0.53,0,-0.01,0.01,33,-3.15,-55.35
1551,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.13,11.72,-1.01,-1.13,11.72,-1.01,-1.13,11.72,-1.01,0,0,0,0,0,0,27.61,0.78,-9.97,-0.88,-0.01,0.01,0,30.75,-7.95,-41.1
1599,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.02,11.7,-0.82,-1.02,11.7,-0.82,-0.9,11.75,-0.77,0,0,0,0,0,0,27.57,0.84,-9.96,-0.84,-0.01,-0.01,0.01,30.75,-7.95,-41.1
1640,26.2,998.61,122.63,3.19,-5.19,-94.5,-1.17,11.76,-1.05,-1.17,11.76,-1.05,-1.17,11.76,-1.05,0,0,0,0,0,0,27.52,0.76,-10.01,-0.73,-0.01,0.01,0.01,32.25,-18,-25.95
1682,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.07,11.75,-0.9,-1.07,11.75,-0.9,-1.07,11.75,-0.9,0,0,0,0,0,0,27.85,0.67,-9.96,-0.8,-0.01,-0.01,0.01,32.25,-18,-25.95
1731,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.09,11.73,-0.96,-1.09,11.73,-0.96,-1.09,11.73,-0.96,0,0,0,0,0,0,27.61,0.76,-9.94,-0.74,0,0.01,0.01,32.4,-23.1,-22.95
1774,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.06,11.72,-1,-1.06,11.72,-1,-1.06,11.72,-1,0,0,0,0,0,0,27.71,0.78,-9.98,-0.76,0,0,0,32.4,-23.1,-22.95
1819,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.11,11.76,-0.9,-1.11,11.76,-0.9,-1.13,11.72,-0.89,0,0,0,0,0,0,27.85,0.8,-9.97,-0.66,0,-0.01,0.01,32.4,-23.1,-22.95
1862,26.2,998.61,122.6,3.19,-5.19,-94.5,-1.04,11.74,-0.94,-1.04,11.74,-0.94,-1.04,11.74,-0.94,0,0,0,0,0,0,27.71,0.75,-9.99,-0.75,0,0,0,35.55,-28.05,-26.25
1911,26.2,998.61,122.58,3.19,-5.19,-94.5,-1.11,11.72,-0.9,-1.11,11.72,-0.9,-1.11,11.72,-0.9,0,0,0,0,0,0,27.57,0.81,-9.95,-0.68,-0.01,-0.01,0,35.55,-28.05,-26.25
1953,26.2,998.62,122.52,3.19,-5.19,-94.5,-1.08,11.75,-0.94,-1.08,11.75,-0.94,-1.08,11.75,-0.94,0,0,0,0,0,0,27.37,0.77,-10.02,-0.76,-0.01,0,0.01,37.65,-28.05,-29.85
1994,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.12,11.74,-0.96,-1.12,11.74,-0.96,-1.12,11.74,-0.96,0,0,0,0,0,0,27.57,0.79,-9.96,-0.73,-0.01,-0.01,0.01,37.65,-28.05,-29.85
2040,26.2,998.61,122.64,3.19,-5.19,-94.5,-1.06,11.73,-0.97,-1.06,11.73,-0.97,-1.07,11.73,-0.98,0,0,0,0,0,0,27.57,0.72,-9.96,-0.76,0,0,0,39.3,-27.9,-31.05
2082,26.2,998.61,122.64,3.19,-5.19,-94.5,-1.08,11.75,-0.95,-1.08,11.75,-0.95,-1.08,11.75,-0.95,0,0,0,0,0,0,27.61,0.78,-9.97,-0.8,-0.01,0,0,39.3,-27.9,-31.05
2132,26.2,998.59,122.77,3.19,-5.19,-94.5,-1.08,11.75,-0.98,-1.09,11.73,-0.96,-1.09,11.73,-0.96,0,0,0,0,0,0,27.76,0.84,-9.97,-0.65,0,0,0,42.45,-28.95,-31.05
2173,26.2,998.59,122.77,3.19,-5.19,-94.5,-1.09,11.74,-0.94,-1.09,11.74,-0.94,-1.09,11.74,-0.94,0,0,0,0,0,0,27.71,0.76,-9.99,-0.72,0,0.01,0,42.45,-28.95,-31.05
2220,26.2,998.6,122.68,3.19,-5.19,-94.5,-1.12,11.75,-0.92,-1.12,11.75,-0.92,-1.11,11.74,-0.9,0,0,0,0,0,0,27.57,0.77,-9.96,-0.73,0,0,0.01,42.45,-28.95,-31.05
2262,26.2,998.61,122.65,3.19,-5.19,-94.5,-1.1,11.73,-0.97,-1.1,11.73,-0.97,-1.1,11.73,-0.97,0,0,0,0,0,0,27.61,0.78,-9.99,-0.79,-0.01,0,0,43.8,-31.05,-31.2
2304,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.11,11.72,-0.9,-1.11,11.72,-0.9,-1.11,11.72,-0.9,0,0,0,0,0,0,27.52,0.76,-9.99,-0.73,0,0,0.01,43.8,-31.05,-31.2
2353,26.2,998.61,122.6,3.19,-5.19,-94.5,-1.11,11.75,-0.98,-1.11,11.75,-0.98,-1.11,11.75,-0.98,0,0,0,0,0,0,27.85,0.75,-9.97,-0.74,0,0,0,42.45,-29.7,-31.35
2395,26.2,998.6,122.67,3.19,-5.19,-94.5,-1.09,11.74,-0.96,-1.09,11.74,-0.96,-1.09,11.74,-0.96,0,0,0,0,0,0,27.61,0.8,-9.97,-0.73,0,0,0,42.45,-29.7,-31.35
2437,26.2,998.6,122.68,3.19,-5.19,-94.5,-1.06,11.73,-0.96,-1.06,11.73,-0.96,-1.06,11.73,-0.96,0,0,0,0,0,0,27.85,0.78,-10.02,-0.77,0,0,0.01,43.35,-32.1,-29.85
2482,26.2,998.6,122.73,3.19,-5.19,-94.5,-1.09,11.76,-0.94,-1.09,11.76,-0.94,-1.07,11.74,-0.93,0,0,0,0,0,0,27.61,0.8,-9.99,-0.72,0,0,0.01,43.35,-32.1,-29.85
2523,26.2,998.6,122.72,3.19,-5.19,-94.5,-1.07,11.74,-0.94,-1.07,11.74,-0.94,-1.07,11.74,-0.94,0,0,0,0,0,0,27.76,0.76,-9.98,-0.74,0,0,0,43.35,-32.1,-29.85
2573,26.2,998.6,122.7,3.19,-5.19,-94.5,-1.09,11.73,-0.92,-1.09,11.73,-0.92,-1.09,11.73,-0.92,0,0,0,0,0,0,27.85,0.79,-9.97,-0.71,0,0,0.01,45.15,-33.3,-30.15
2614,26.2,998.61,122.64,3.19,-5.19,-94.5,-1.1,11.72,-0.92,-1.1,11.72,-0.92,-1.1,11.72,-0.92,0,0,0,0,0,0,27.61,0.79,-9.96,-0.75,0,0,0,45.15,-33.3,-30.15
2665,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.1,11.76,-0.92,-1.1,11.76,-0.92,-1.07,11.75,-0.96,0,0,0,0,0,0,27.57,0.8,-9.97,-0.75,0,0,0.01,43.95,-32.7,-30.75
2706,26.2,998.61,122.58,3.19,-5.19,-94.5,-1.11,11.74,-0.91,-1.11,11.74,-0.91,-1.11,11.74,-0.91,0,0,0,0,0,0,27.57,0.76,-9.97,-0.77,-0.01,0,0.01,43.95,-32.7,-30.75
2754,26.2,998.62,122.53,3.19,-5.19,-94.5,-1.08,11.75,-0.99,-1.08,11.75,-0.99,-1.08,11.75,-0.99,0,0,0,0,0,0,27.57,0.79,-9.99,-0.73,0,0,0,42.3,-34.05,-31.95
2795,26.2,998.61,122.58,3.19,-5.19,-94.5,-1.07,11.73,-0.96,-1.07,11.73,-0.96,-1.07,11.73,-0.96,0,0,0,0,0,0,27.76,0.72,-9.97,-0.76,-0.01,0,0.01,42.3,-34.05,-31.95
2837,26.19,998.6,122.65,3.19,-5.19,-94.5,-1.09,11.72,-0.94,-1.09,11.72,-0.94,-1.09,11.72,-0.94,0,0,0,0,0,0,27.9,0.73,-9.96,-0.71,0,0.01,0.01,41.25,-33.3,-34.05
2883,26.2,998.61,122.64,3.19,-5.19,-94.5,-1.08,11.75,-0.92,-1.08,11.75,-0.92,-1.08,11.75,-0.93,0,0,0,0,0,0,27.42,0.74,-9.96,-0.76,-0.01,0,0.01,41.25,-33.3,-34.05
2925,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.11,11.74,-0.93,-1.11,11.74,-0.93,-1.11,11.74,-0.93,0,0,0,0,0,0,27.57,0.78,-9.96,-0.7,0,0,0,41.25,-33.3,-34.05
2975,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.11,11.73,-0.95,-1.11,11.73,-0.95,-1.11,11.73,-0.95,0,0,0,0,0,0,27.57,0.76,-9.98,-0.75,-0.01,0,0.01,43.2,-32.4,-31.8
3024,26.2,998.61,122.63,3.19,-5.19,-94.5,-1.12,11.74,-0.95,-1.1,11.74,-0.93,-1.1,11.74,-0.93,0,0,0,0,0,0,27.57,0.75,-10,-0.76,-0.01,0,0,43.2,-32.4,-31.8
3066,26.19,998.6,122.72,3.19,-5.19,-94.5,-1.08,11.75,-0.97,-1.08,11.75,-0.97,-1.08,11.75,-0.97,0,0,0,0,0,0,27.52,0.75,-9.91,-0.74,-0.01,0,0.01,42,-32.85,-33
3110,26.19,998.61,122.63,3.19,-5.19,-94.5,-1.06,11.76,-0.94,-1.06,11.76,-0.94,-1.06,11.76,-0.94,0,0,0,0,0,0,27.76,0.76,-9.95,-0.77,-0.01,0,0,42,-32.85,-33
3154,26.19,998.61,122.63,3.19,-5.19,-94.5,-1.06,11.74,-0.95,-1.06,11.74,-0.95,-1.06,11.74,-0.96,0,0,0,0,0,0,27.85,0.76,-9.95,-0.72,0,0,0.01,42,-32.85,-33
3204,26.2,998.61,122.62,3.19,-5.19,-94.5,-1.07,11.73,-0.94,-1.07,11.73,-0.94,-1.07,11.73,-0.94,0,0,0,0,0,0,27.71,0.73,-9.98,-0.72,0,0,0.01,42,-32.85,-33
3246,26.19,998.61,122.61,3.19,-5.19,-94.5,-1.1,11.73,-0.94,-1.1,11.73,-0.94,-1.1,11.73,-0.94,0,0,0,0,0,0,27.76,0.79,-9.94,-0.71,0,0,0,42,-32.85,-33
3290,26.19,998.6,122.68,3.19,-5.19,-94.5,-1.12,11.75,-0.9,-1.12,11.75,-0.9,-1.12,11.75,-0.9,0,0,0,0,0,0,27.61,0.78,-9.96,-0.75,-0.01,0,0.01,42,-32.85,-33
3334,26.2,998.6,122.66,3.19,-5.19,-94.5,-1.1,11.76,-0.96,-1.1,11.76,-0.96,-1.12,11.73,-0.94,0,0,0,0,0,0,27.61,0.76,-9.91,-0.75,0,-0.01,0,42,-32.85,-33
3376,26.2,998.6,122.67,3.19,-5.19,-94.5,-1.1,11.74,-0.94,-1.1,11.74,-0.94,-1.1,11.74,-0.94,0,0,0,0,0,0,27.52,0.78,-9.97,-0.75,0,0,0.01,42,-32.85,-33
3426,26.2,998.6,122.65,3.19,-5.19,-94.5,-1.04,11.75,-0.94,-1.04,11.75,-0.94,-1.04,11.75,-0.94,0,0,0,0,0,0,27.61,0.74,-9.96,-0.72,-0.01,0,0,42,-32.85,-33
3468,26.19,998.6,122.66,3.19,-5.19,-94.5,-1.06,11.73,-0.96,-1.06,11.73,-0.96,-1.06,11.73,-0.96,0,0,0,0,0,0,27.71,0.69,-9.9,-0.76,-0.01,0,0,42,-32.85,-33
3512,26.2,998.61,122.65,3.19,-5.19,-94.5,-1.07,11.75,-0.96,-1.07,11.75,-0.96,-1.07,11.75,-0.96,0,0,0,0,0,0,27.76,0.78,-9.95,-0.73,-0.01,0,0,42,-32.85,-33
3556,26.2,998.6,122.66,3.19,-5.19,-94.5,-1.07,11.74,-0.91,-1.1,11.73,-0.92,-1.1,11.73,-0.92,0,0,0,0,0,0,27.71,0.79,-10,-0.79,0,0,0.01,42,-32.85,-33
3606,26.2,998.6,122.65,3.19,-5.19,-94.5,-1.11,11.73,-0.93,-1.1,11.73,-0.95,-1.1,11.73,-0.95,0,0,0,0,0,0,27.37,0.8,-9.95,-0.75,0,0,0,42,-32.85,-33
3648,26.2,998.6,122.65,3.19,-5.19,-94.5,-1.1,11.73,-0.91,-1.1,11.73,-0.91,-1.1,11.73,-0.91,0,0,0,0,0,0,27.52,0.79,-9.93,-0.74,-0.01,0,0,42,-32.85,-33
3688,26.19,998.6,122.67,3.19,-5.19,-94.5,-1.11,11.73,-0.94,-1.11,11.73,-0.94,-1.11,11.73,-0.94,0,0,0,0,0,0,27.61,0.78,-9.95,-0.73,-0.01,0,0.01,42,-32.85,-33
3736,26.19,998.6,122.7,3.19,-5.19,-94.5,-1.09,11.75,-0.92,-1.09,11.75,-0.92,-1.08,11.74,-0.95,0,0,0,0,0,0,27.71,0.75,-9.98,-0.73,0,0,0.01,42,-32.85,-33
3778,26.2,998.61,122.64,3.19,-5.19,-94.5,-1.07,11.73,-0.98,-1.07,11.73,-0.98,-1.07,11.73,-0.98,0,0,0,0,0,0,27.61,0.78,-9.98,-0.79,0,0,0,42,-32.85,-33
3827,26.2,998.62,122.53,3.19,-5.19,-94.5,-1.07,11.75,-0.95,-1.07,11.75,-0.95,-1.07,11.75,-0.95,0,0,0,0,0,0,27.52,0.76,-9.98,-0.79,-0.01,0,0.01,42,-32.85,-33
3868,26.2,998.62,122.53,3.19,-5.19,-94.5,-1.07,11.74,-0.98,-1.07,11.74,-0.98,-1.07,11.74,-0.98,0,0,0,0,0,0,27.61,0.79,-9.97,-0.75,-0.01,0,0,42,-32.85,-33
3916,26.2,998.62,122.49,3.19,-5.19,-94.5,-1.08,11.74,-0.94,-1.08,11.74,-0.94,-1.07,11.73,-0.94,0,0,0,0,0,0,27.57,0.75,-9.99,-0.73,0,0,0,42,-32.85,-33
3958,26.2,998.62,122.52,3.19,-5.19,-94.5,-1.11,11.74,-0.93,-1.11,11.74,-0.93,-1.11,11.74,-0.93,0,0,0,0,0,0,27.57,0.79,-9.94,-0.7,0,0.01,0,43.05,-32.85,-31.65
3999,26.2,998.62,122.5,3.19,-5.19,-94.5,-1.12,11.74,-0.93,-1.12,11.74,-0.93,-1.12,11.74,-0.93,0,0,0,0,0,0,27.71,0.81,-9.94,-0.76,-0.01,0,0,43.05,-32.85,-31.65
4048,26.2,998.62,122.54,3.19,-5.19,-94.5,-1.1,11.75,-0.92,-1.1,11.75,-0.92,-1.1,11.75,-0.92,0,0,0,0,0,0,27.57,0.82,-9.95,-0.7,0,-0.01,0,43.2,-32.7,-31.35
4090,26.2,998.61,122.6,3.19,-5.19,-94.5,-1.1,11.74,-0.92,-1.1,11.74,-0.92,-1.1,11.74,-0.92,0,0,0,0,0,0,27.52,0.77,-9.94,-0.76,0,0,0.01,43.2,-32.7,-31.35
4138,26.2,998.61,122.6,3.19,-5.19,-94.5,-1.09,11.74,-0.93,-1.09,11.74,-0.93,-1.09,11.74,-0.93,0,0,0,0,0,0,27.61,0.74,-9.99,-0.72,0,0,0,41.85,-33.15,-31.8
4180,26.2,998.61,122.59,3.19,-5.19,-94.5,-1.06,11.74,-0.96,-1.06,11.74,-0.96,-1.06,11.74,-0.96,0,0,0,0,0,0,27.61,0.74,-9.96,-0.79,0,0,0.01,41.85,-33.15,-31.8
4220,26.2,998.61,122.61,3.19,-5.19,-94.5,-1.07,11.73,-0.97,-1.07,11.73,-0.97,-1.07,11.73,-0.97,0,0,0,0,0,0,27.57,0.77,-9.98,-0.71,0,0,0,41.85,-33.15,-31.8
4269,26.2,998.61,122.57,3.19,-5.19,-94.5,-1.1,11.74,-0.98,-1.1,11.74,-0.98,-1.1,11.74,-0.98,0,0,0,0,0,0,27.61,0.76,-9.99,-0.74,0,0,0,41.25,-31.05,-32.25
4310,26.2,998.61,122.6,3.19,-5.19,-94.5,-1.11,11.72,-0.94,-1.11,11.72,-0.94,-1.11,11.72,-0.94,0,0,0,0,0,0,27.57,0.8,-9.97,-0.74,-0.01,0,0,41.25,-31.05,-32.25
4358,26.2,998.62,122.55,3.19,-5.19,-94.5,-1.13,11.72,-0.94,-1.13,11.72,-0.94,-1.11,11.75,-0.92,0,0,0,0,0,0,27.61,0.8,-9.96,-0.77,0,0,0,40.5,-33.3,-32.25
4399,26.2,998.62,122.54,3.19,-5.19,-94.5,-1.1,11.73,-0.93,-1.1,11.73,-0.93,-1.1,11.73,-0.93,0,0,0,0,0,0,27.76,0.8,-9.96,-0.72,0,0,0,40.5,-33.3,-32.25
4449,26.2,998.62,122.56,3.19,-5.19,-94.5,-1.09,11.74,-0.93,-1.08,11.73,-0.9,-1.08,11.73,-0.9,0,0,0,0,0,0,27.61,0.78,-10,-0.7,-0.01,-0.01,0.01,41.55,-33.3,-32.7
4490,26.2,998.62,122.5,3.19,-5.19,-94.5,-1.1,11.73,-0.94,-1.1,11.73,-0.94,-1.1,11.73,-0.94,0,0,0,0,0,0,27.95,0.75,-9.98,-0.79,0,0,0.01,41.55,-33.3,-32.7
4533,26.2,998.62,122.53,3.19,-5.19,-94.5,-1.09,11.72,-0.97,-1.09,11.72,-0.97,-1.09,11.72,-0.97,0,0,0,0,0,0,27.61,-0.12,-10.03,-1.12,-0.01,-0.01,0.01,41.55,-33.3,-32.7
4579,26.2,998.62,122.52,3.12,-5.19,-94.5,-0.73,11.68,-1.01,-0.73,11.68,-1.01,-1.58,11.84,-0.72,0,0,0,0,0,0,27.52,1.46,-9.84,-0.07,0,-0.01,0,43.05,-34.05,-33.75
4621,26.2,998.62,122.55,3.12,-5.19,-94.5,-0.67,11.62,-1.31,-0.67,11.62,-1.31,-0.67,11.62,-1.31,0,0,0,0,0,0,27.61,0.36,-9.92,-0.78,-0.03,-0.33,-0.01,43.05,-34.05,-33.75
4670,26.2,998.62,122.55,2.25,-5.19,-94.69,-1.12,10.67,-1.18,-1.12,10.67,-1.18,-1.12,10.67,-1.18,0,0,0,0,0,0,27.76,1.04,-9.45,-0.79,-0.07,-0.75,0.05,42,-34.8,-32.7
4712,26.2,998.62,122.55,0.25,-4.87,-95,-1.7,12.05,-1.07,-1.7,12.05,-1.07,-1.7,12.05,-1.07,0,0,0,0,0,0,27.71,0.54,-10.64,0,0,-0.52,0.11,42,-34.8,-32.7
4754,26.2,998.62,122.55,358.56,-4.56,-95.19,0.69,12.03,-0.59,0.69,12.03,-0.59,0.69,12.03,-0.59,0,0,0,0,0,0,27.71,1.34,-10.25,-1.53,-0.03,-0.58,0.04,43.05,-34.8,-31.65
4796,26.2,998.63,122.47,357,-4.37,-95.31,-0.9,11.55,-0.47,-0.9,11.55,-0.47,-0.9,11.55,-0.47,0,0,0,0,0,0,27.57,-0.47,-9.58,-0.23,-0.02,-0.93,0,43.05,-34.8,-31.65
4840,26.2,998.62,122.54,354.81,-4.19,-95.5,-1.34,12.13,-0.97,-1.34,12.13,-0.97,-1.13,12.16,-1.14,0,0,0,0,0,0,27.76,1.02,-10.37,-1.37,-0.02,-0.42,0.02,43.95,-33.9,-30
4890,26.2,998.62,122.53,353.19,-4,-95.69,-1.28,11.88,-1.19,-0.46,11.45,-0.78,-0.46,11.45,-0.78,0,0,0,0,0,0,27.57,-0.14,-9.51,-0.46,0,-0.74,-0.01,43.95,-33.9,-30
4931,26.2,998.61,122.58,351.81,-3.87,-95.75,-0.93,11.56,-1.01,-0.93,11.56,-1.01,-0.93,11.56,-1.01,0,0,0,0,0,0,27.57,0.31,-9.67,-1.06,0,-1.17,0.01,43.95,-33.9,-30
4979,26.2,998.61,122.58,348.31,-3.56,-96,-1.22,11.82,-1.49,-1.22,11.82,-1.49,-1.22,11.82,-1.49,0,0,0,0,0,0,27.9,0.75,-10.26,-0.88,-0.02,-0.87,0.03,45.45,-35.4,-28.65
