time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], GPS sat [#], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
10262, 14.97, 989.95, 195.78, 2.87, 6.75, 178.81, 1.22, -1.21, -7.55, 1.22, -1.21, -7.55, 1.22, -1.21, -7.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -1.36, -0.18, -8.08, 0.15, -0.75, -0.16, 0.00, 22.35, -77.10
10315, 14.94, 989.97, 195.65, 2.56, 8.50, 179.12, -0.65, -0.82, -7.35, -0.65, -0.82, -7.35, -0.65, -0.82, -7.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, 0.03, -0.94, -8.24, -0.33, 0.69, 0.08, 0.00, 22.35, -77.10
10358, 14.92, 989.97, 195.65, 2.69, 7.12, 178.37, 0.89, -0.74, -10.41, 0.89, -0.74, -10.41, 0.89, -0.74, -10.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -1.69, -0.79, -10.03, -0.07, -0.41, 0.27, 1.50, 21.00, -77.55
10409, 14.90, 989.97, 195.63, 3.31, 7.37, 177.94, 0.56, -1.40, -7.58, 0.56, -1.40, -7.58, 0.56, -1.40, -7.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -0.59, -0.01, -7.94, -0.38, -0.14, 0.11, 1.50, 21.00, -77.55
10452, 14.89, 989.98, 195.57, 3.69, 8.00, 176.81, -0.64, -0.68, -9.13, -0.64, -0.68, -9.13, -0.64, -0.68, -9.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.72, -0.12, -9.42, -0.32, 0.25, 0.54, 1.95, 22.80, -77.25
10499, 14.89, 989.99, 195.52, 4.69, 7.31, 176.00, 1.89, -2.56, -9.21, 1.99, -2.98, -8.71, 1.99, -2.98, -8.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -1.14, 2.02, -8.49, -0.26, 0.29, -0.08, 1.95, 22.80, -77.25
10542, 14.89, 989.99, 195.49, 4.44, 6.31, 175.12, 0.61, -3.13, -8.95, 0.61, -3.13, -8.95, 0.61, -3.13, -8.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -1.44, 1.42, -10.82, -0.66, 1.36, -0.50, 0.15, 24.30, -77.25
10588, 14.88, 989.99, 195.44, 3.12, 3.69, 173.81, 0.60, -2.77, -10.70, 1.36, -1.84, -9.29, 1.36, -1.84, -9.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.47, 0.26, -9.78, -0.85, 1.48, -0.95, 0.15, 24.30, -77.25
10640, 14.88, 990.00, 195.37, 0.44, 0.13, 171.50, -2.52, -1.27, -9.95, -2.52, -1.27, -9.95, -2.52, -1.27, -9.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.26, 3.03, 0.16, -11.81, -0.81, 0.23, -0.55, -2.85, 27.45, -74.55
10688, 14.88, 990.01, 195.34, 358.56, -1.00, 169.19, -4.22, -3.84, -13.96, -4.22, -3.84, -13.96, -4.22, -3.84, -13.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, 1.28, 2.52, -11.86, 0.17, -0.63, -0.08, -2.85, 27.45, -74.55
10733, 14.87, 990.02, 195.21, 358.44, -0.56, 169.44, -1.37, -2.00, -10.17, -1.37, -2.00, -10.17, -1.37, -2.00, -10.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, 0.55, 0.20, -10.97, 0.53, -0.26, -0.17, -2.70, 28.50, -74.85
10780, 14.87, 990.02, 195.26, 358.19, 0.25, 170.56, -3.15, -0.78, -14.35, -2.86, -0.73, -14.26, -2.86, -0.73, -14.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, 2.60, -0.70, -14.83, 0.42, 0.25, 0.20, -2.70, 28.50, -74.85
10831, 14.86, 990.02, 195.24, 358.69, 0.00, 171.62, -1.41, -0.52, -10.62, -1.41, -0.52, -10.62, -1.41, -0.52, -10.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 1.45, -1.41, -11.20, -0.71, -0.71, 0.24, -1.80, 28.65, -76.35
10879, 14.86, 990.02, 195.26, 359.56, 1.62, 170.12, 0.28, 0.53, -9.56, 0.28, 0.53, -9.56, 0.28, 0.53, -9.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, 0.25, -0.71, -10.89, -1.04, -1.27, 0.10, -1.80, 28.65, -76.35
10922, 14.85, 990.02, 195.24, 0.06, 3.94, 167.75, -1.83, -2.67, -13.07, -1.83, -2.67, -13.07, -1.83, -2.67, -13.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, 1.46, 1.65, -12.53, -0.69, 0.50, 0.29, -1.80, 28.65, -76.35
10971, 14.85, 990.03, 195.17, 0.69, 3.37, 165.50, -0.40, -2.95, -11.50, -0.12, -2.80, -11.28, -0.12, -2.80, -11.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -0.35, 1.35, -10.61, -0.05, -0.03, 0.27, -1.80, 28.65, -76.35
11015, 14.85, 990.03, 195.11, 1.37, 3.00, 165.00, -0.05, -3.16, -12.84, -0.05, -3.16, -12.84, -0.05, -3.16, -12.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, 0.67, 2.16, -12.56, 0.63, -0.16, -0.04, -1.80, 28.65, -76.35
11067, 14.85, 990.04, 195.07, 1.37, 3.06, 167.19, -1.53, -3.15, -11.76, -1.53, -3.15, -11.76, -1.53, -3.15, -11.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, 1.04, 1.25, -10.95, 1.40, 0.90, 0.26, 3.30, 32.55, -75.90
11111, 14.85, 990.04, 195.07, 1.62, 1.19, 170.25, -0.49, -2.97, -9.89, -0.49, -2.97, -9.89, 0.12, -3.14, -9.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -0.03, 1.88, -10.41, 1.15, -0.12, 0.19, 3.30, 32.55, -75.90
11155, 14.85, 990.04, 195.05, 2.06, 1.31, 173.50, 0.00, -3.11, -9.55, 0.00, -3.11, -9.55, 0.00, -3.11, -9.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 1.25, 0.96, -10.59, 0.33, -0.16, -0.25, 3.30, 32.55, -75.90
11199, 14.85, 990.04, 195.09, 1.62, 1.81, 174.25, -0.29, -2.28, -9.39, -0.29, -2.28, -9.39, -0.29, -2.28, -9.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -0.79, 0.39, -10.25, -0.12, 0.03, -0.23, 3.30, 32.55, -75.90
11244, 14.85, 990.04, 195.07, 0.94, 1.81, 174.00, 0.26, -1.32, -10.38, 0.26, -1.32, -10.38, 0.26, -1.32, -10.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -0.00, 0.35, -10.15, -0.09, 0.06, -0.50, 5.10, 23.55, -80.40
11295, 14.85, 990.04, 195.03, 359.62, 2.25, 173.56, -1.69, -2.38, -8.03, -1.69, -2.38, -8.03, -1.69, -2.38, -8.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 0.62, 0.65, -9.29, -0.81, -0.06, -0.20, 5.10, 23.55, -80.40
11343, 14.85, 990.05, 195.00, 359.06, 3.06, 171.25, 0.89, -1.55, -10.39, 0.89, -1.55, -10.39, 0.58, -1.62, -10.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 2.78, -2.51, -5.83, 0.15, -1.16, 0.06, 5.10, 23.55, -80.40
11389, 14.85, 990.05, 194.99, 359.37, 5.81, 171.50, 0.82, -2.74, -10.42, 0.82, -2.74, -10.42, 0.82, -2.74, -10.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, 1.31, 0.87, -9.27, 0.02, -0.56, 0.02, 5.10, 23.55, -80.40
11434, 14.85, 990.05, 194.95, 359.56, 7.12, 171.56, 0.79, -2.52, -9.91, 0.79, -2.52, -9.91, 0.79, -2.52, -9.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.84, 0.46, 0.82, -9.15, 0.14, 0.06, 0.09, 9.30, 26.40, -77.10
11479, 14.85, 990.05, 194.99, 359.81, 7.19, 171.81, 0.25, -2.40, -9.56, 0.25, -2.40, -9.56, 0.25, -2.40, -9.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -0.26, 0.48, -10.13, -0.02, -0.05, -0.05, 9.30, 26.40, -77.10
11533, 14.85, 990.05, 195.01, 359.69, 7.19, 171.81, 0.21, -1.88, -9.91, 0.21, -1.88, -9.91, 0.21, -1.88, -9.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.57, 0.44, -9.87, 0.05, 0.31, 0.09, 8.25, 25.20, -77.10
11576, 14.85, 990.04, 195.05, 359.75, 6.25, 171.75, -0.23, -1.25, -9.63, -0.23, -1.25, -9.63, -0.23, -1.25, -9.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, 0.27, 0.13, -9.84, 0.06, 0.13, 0.07, 8.25, 25.20, -77.10
11625, 14.85, 990.04, 195.02, 359.94, 6.00, 171.81, 0.07, -1.42, -10.14, 0.08, -1.61, -11.45, 0.08, -1.61, -11.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.05, -0.19, -9.60, 0.03, -0.18, 0.11, 8.25, 25.20, -77.10
11669, 14.85, 990.05, 194.98, 0.44, 6.94, 171.69, 0.11, -1.08, -9.72, 0.11, -1.08, -9.72, 0.11, -1.08, -9.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -0.74, 0.17, -8.17, -0.05, -0.49, 0.25, 9.15, 24.75, -75.45
11720, 14.85, 990.04, 195.03, 1.19, 8.13, 171.37, -0.57, -1.66, -8.99, -0.57, -1.66, -8.99, -0.57, -1.66, -8.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.79, -0.56, 0.65, -9.49, -0.14, -0.65, 0.40, 9.15, 24.75, -75.45
11763, 14.85, 990.05, 195.01, 2.19, 9.06, 170.87, 1.36, -2.27, -10.55, 1.36, -2.27, -10.55, 1.36, -2.27, -10.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -0.90, 1.02, -9.43, -0.03, 0.28, 0.29, 9.60, 25.95, -76.35
11807, 14.85, 990.05, 195.00, 2.94, 8.63, 170.75, 1.23, -2.07, -9.75, 1.23, -2.07, -9.75, 1.23, -2.07, -9.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.66, 0.69, -9.96, 0.06, 0.16, -0.00, 9.60, 25.95, -76.35
11852, 14.85, 990.04, 195.04, 3.00, 8.31, 170.81, 0.99, -2.47, -9.53, 0.99, -2.47, -9.53, 0.99, -2.47, -9.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.73, 0.67, -11.07, -0.13, -0.45, 0.00, 8.10, 25.50, -75.90
11898, 14.85, 990.05, 195.01, 3.06, 9.19, 170.50, 0.36, -1.63, -9.92, 0.36, -1.63, -9.92, 0.36, -1.63, -9.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -1.07, 0.30, -10.03, -0.04, -0.51, 0.11, 8.10, 25.50, -75.90
11949, 14.85, 990.04, 195.04, 3.44, 10.69, 170.31, 2.80, -1.64, -9.01, 2.80, -1.64, -9.01, 2.80, -1.64, -9.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -1.04, 0.73, -10.30, 0.03, -1.52, 0.01, 10.20, 25.80, -74.40
11996, 14.85, 990.05, 194.98, 3.87, 14.50, 170.19, 1.19, -1.56, -10.00, 1.19, -1.56, -10.00, 1.50, -1.61, -10.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -1.84, 0.22, -10.21, 0.21, -2.23, 0.27, 10.20, 25.80, -74.40
12039, 14.85, 990.05, 194.99, 5.12, 20.50, 170.00, 2.27, -1.84, -9.47, 2.27, -1.84, -9.47, 2.27, -1.84, -9.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -2.53, 0.67, -8.83, 0.50, -1.42, 0.21, 16.50, 25.65, -73.50
12088, 14.84, 990.05, 194.96, 6.12, 23.50, 170.56, 3.46, -1.83, -8.48, 4.09, -1.58, -9.07, 4.09, -1.58, -9.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -3.36, -0.18, -9.51, 0.00, -0.66, -0.21, 16.50, 25.65, -73.50
12132, 14.84, 990.05, 194.95, 5.81, 25.00, 170.56, 3.10, -2.10, -8.69, 3.10, -2.10, -8.69, 3.10, -2.10, -8.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -3.39, 0.73, -9.01, 0.08, 0.13, -0.12, 20.70, 24.75, -70.95
12184, 14.84, 990.05, 194.95, 5.44, 25.37, 171.00, 3.24, -2.07, -9.40, 3.24, -2.07, -9.40, 3.24, -2.07, -9.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, -3.31, -0.06, -9.84, 0.08, -0.19, -0.03, 20.70, 24.75, -70.95
12229, 14.84, 990.05, 194.97, 5.31, 25.50, 171.19, 3.56, -1.63, -9.25, 3.56, -1.63, -9.25, 3.56, -1.63, -9.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -3.99, 0.16, -9.21, 0.07, -0.60, -0.08, 20.85, 26.40, -72.15
12278, 14.83, 990.05, 194.97, 5.19, 27.00, 171.31, 3.69, -1.69, -8.89, 3.73, -1.85, -8.99, 3.73, -1.85, -8.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -3.98, 0.51, -9.01, 0.00, -0.14, 0.00, 20.85, 26.40, -72.15
12321, 14.83, 990.05, 194.98, 5.25, 27.44, 171.25, 3.68, -1.62, -9.12, 3.68, -1.62, -9.12, 3.68, -1.62, -9.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -3.83, -0.40, -9.32, 0.06, 0.09, -0.05, 20.85, 26.40, -72.15
12365, 14.83, 990.05, 194.99, 5.25, 27.25, 171.37, 3.76, -1.66, -9.15, 3.76, -1.66, -9.15, 3.76, -1.66, -9.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -3.91, 0.77, -9.14, 0.08, -0.01, -0.05, 20.25, 25.50, -70.95
12415, 14.83, 990.05, 195.00, 5.19, 27.56, 171.62, 3.69, -1.70, -9.29, 3.69, -1.70, -9.29, 3.69, -1.70, -9.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -3.95, 0.21, -9.27, 0.06, -0.63, -0.13, 20.25, 25.50, -70.95
12459, 14.82, 990.05, 195.01, 5.06, 28.81, 171.69, 3.90, -1.52, -9.10, 3.90, -1.52, -9.10, 4.08, -1.59, -8.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -4.50, 0.36, -9.01, -0.03, -0.82, 0.05, 20.25, 25.50, -70.95
12504, 14.82, 990.05, 194.98, 5.37, 31.25, 171.37, 4.40, -1.65, -8.87, 4.40, -1.65, -8.87, 4.40, -1.65, -8.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -4.50, 0.03, -8.68, -0.03, -1.02, 0.02, 20.25, 25.50, -70.95
12550, 14.82, 990.06, 194.93, 5.56, 33.38, 171.06, 4.55, -1.37, -8.67, 4.62, -1.47, -8.70, 4.62, -1.47, -8.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -5.18, 0.60, -8.45, 0.02, -0.54, 0.08, 24.45, 25.65, -70.35
12594, 14.82, 990.04, 195.02, 5.87, 34.94, 170.69, 5.19, -2.22, -8.42, 5.19, -2.22, -8.42, 5.19, -2.22, -8.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -5.17, 0.84, -8.37, -0.09, -0.52, 0.06, 24.45, 25.65, -70.35
12645, 14.81, 990.04, 195.08, 6.25, 36.00, 170.00, 5.57, -1.81, -8.08, 5.57, -1.81, -8.08, 5.57, -1.81, -8.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.40, -5.53, 0.23, -8.30, -0.13, -0.64, 0.07, 24.45, 25.65, -70.35
12691, 14.81, 990.04, 195.02, 6.50, 37.31, 169.44, 5.55, -1.95, -6.57, 5.00, -1.18, -10.19, 5.00, -1.18, -10.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -5.94, 0.55, -7.41, 0.19, -0.94, 0.22, 24.45, 25.65, -70.35
12741, 14.81, 990.04, 195.06, 7.56, 40.00, 169.00, 6.23, -2.18, -7.68, 6.23, -2.18, -7.68, 4.92, -1.89, -7.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -5.13, 0.47, -7.68, 0.26, -1.07, 0.34, 27.60, 25.50, -64.50
12784, 14.80, 990.04, 195.04, 9.06, 42.13, 168.62, 5.17, -1.71, -7.47, 5.17, -1.71, -7.47, 5.17, -1.71, -7.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -5.75, 0.19, -7.22, 0.27, -0.31, 0.37, 27.60, 25.50, -64.50
12834, 14.80, 990.04, 195.01, 10.31, 42.94, 168.25, 7.42, -1.15, -9.48, 7.42, -1.15, -9.48, 7.42, -1.15, -9.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -6.13, 2.20, -8.45, 0.02, -0.03, -0.04, 27.60, 25.50, -64.50
12880, 14.80, 990.04, 195.07, 10.38, 43.25, 168.31, 6.67, -1.56, -8.45, 6.67, -1.56, -8.45, 6.67, -1.56, -8.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -6.43, 0.20, -8.15, 0.06, -0.89, -0.09, 27.60, 25.50, -64.50
12924, 14.80, 990.04, 195.04, 347.62, 45.56, 168.12, 6.53, -1.60, -7.76, 6.53, -1.60, -7.76, 6.53, -1.60, -7.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -6.61, -0.08, -7.44, 0.04, -1.19, -0.19, 27.60, 25.50, -64.50
12969, 14.80, 990.04, 195.01, 348.94, 48.00, 167.94, 8.44, -1.88, -6.57, 8.44, -1.88, -6.57, 8.44, -1.88, -6.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -7.84, -0.14, -6.75, 0.14, -0.38, -0.01, 31.35, 25.20, -61.80
13013, 14.80, 990.05, 195.01, 349.75, 49.06, 167.87, 6.97, -1.53, -6.79, 6.97, -1.53, -6.79, 6.56, -1.72, -6.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.40, -8.39, 0.85, -6.74, 0.06, -0.10, -0.02, 31.35, 25.20, -61.80
13063, 14.80, 990.05, 194.96, 350.06, 49.31, 167.94, 6.89, -1.35, -6.63, 6.89, -1.35, -6.63, 6.77, -1.49, -6.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, -6.83, 0.23, -6.36, 0.06, 0.58, 0.07, 31.35, 25.20, -61.80
13107, 14.79, 990.05, 195.01, 349.69, 48.00, 168.25, 6.35, -1.73, -6.53, 6.35, -1.73, -6.53, 6.35, -1.73, -6.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -6.39, 0.35, -7.08, -0.04, 1.33, -0.06, 31.35, 25.20, -61.80
13153, 14.79, 990.05, 194.95, 348.50, 45.31, 168.81, 6.92, -1.32, -8.42, 6.92, -1.32, -8.42, 6.77, -1.40, -8.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.84, -6.51, 0.34, -8.00, 0.04, 0.36, 0.04, 28.05, 24.45, -63.60
13203, 14.79, 990.05, 194.97, 347.87, 43.94, 169.12, 6.35, -1.60, -7.94, 6.35, -1.60, -7.94, 6.43, -1.51, -8.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.40, -6.64, 0.17, -7.86, -0.02, 0.02, -0.04, 28.05, 24.45, -63.60
13246, 14.79, 990.04, 195.04, 9.81, 43.50, 169.19, 6.18, -1.28, -7.69, 6.18, -1.28, -7.69, 6.18, -1.28, -7.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -6.67, 1.31, -7.42, 0.03, -0.11, 0.00, 28.80, 23.10, -62.55
13297, 14.79, 990.04, 195.03, 9.94, 43.56, 169.19, 6.36, -1.58, -7.72, 6.36, -1.58, -7.72, 6.36, -1.58, -7.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -6.40, 0.24, -7.23, 0.01, -0.17, -0.00, 28.80, 23.10, -62.55
13343, 14.79, 990.04, 195.05, 347.75, 43.94, 169.06, 6.32, -1.49, -7.33, 6.32, -1.49, -7.33, 6.32, -1.49, -7.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.40, -6.45, 0.21, -7.37, 0.01, 0.11, 0.00, 29.70, 22.05, -62.70
13393, 14.78, 990.04, 195.02, 10.00, 43.63, 169.06, 6.40, -1.53, -7.69, 6.40, -1.53, -7.69, 6.40, -1.53, -7.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -7.15, 0.81, -7.76, 0.03, -0.29, 0.05, 29.70, 22.05, -62.70
13437, 14.78, 990.05, 195.00, 347.69, 43.94, 168.94, 6.71, -2.28, -6.98, 6.71, -2.28, -6.98, 6.71, -2.28, -6.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -5.51, -0.13, -7.18, -0.08, -0.08, 0.03, 29.10, 20.85, -62.25
13484, 14.78, 990.05, 195.01, 347.19, 44.19, 168.56, 6.29, -1.65, -7.24, 6.29, -1.65, -7.24, 6.29, -1.65, -7.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -6.70, -0.81, -7.86, -0.12, 0.31, 0.16, 29.10, 20.85, -62.25
13547, 14.78, 990.05, 195.01, 10.19, 42.13, 168.44, 6.12, -1.79, -7.80, 6.12, -1.79, -7.80, 6.12, -1.79, -7.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -5.95, 1.24, -7.49, 0.02, 0.84, -0.10, 28.05, 22.35, -64.65
13593, 14.77, 990.05, 194.97, 9.69, 39.31, 168.87, 6.05, -1.89, -7.68, 6.05, -1.89, -7.68, 6.05, -1.89, -7.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -6.58, 0.10, -7.49, -0.04, 0.84, -0.06, 28.05, 22.35, -64.65
13641, 14.76, 990.05, 194.98, 9.44, 37.25, 169.06, 5.66, -1.68, -9.31, 5.66, -1.68, -9.31, 5.66, -1.68, -9.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, -4.27, -0.53, -10.33, 0.00, 0.51, -0.00, 25.35, 23.25, -66.60
13687, 14.76, 990.05, 194.97, 9.31, 36.25, 169.19, 5.22, -1.44, -8.64, 4.75, -0.99, -8.96, 4.75, -0.99, -8.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -4.87, -0.46, -8.99, 0.07, 0.35, 0.06, 25.35, 23.25, -66.60
13739, 14.76, 990.05, 194.98, 9.31, 35.38, 169.37, 5.64, -1.70, -8.45, 5.64, -1.70, -8.45, 5.64, -1.70, -8.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, -5.25, 0.44, -9.12, 0.02, 0.06, -0.04, 24.30, 23.25, -67.05
13784, 14.75, 990.05, 195.01, 9.06, 35.38, 169.31, 6.35, -1.93, -1.61, 6.35, -1.93, -1.61, 6.35, -1.93, -1.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 0.03, -2.15, -20.28, -0.39, -0.62, -0.28, 24.30, 23.25, -67.05
13829, 14.75, 990.04, 195.07, 8.50, 35.50, 169.37, 3.02, -1.85, -12.75, 3.02, -1.85, -12.75, 3.02, -1.85, -12.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -8.01, 1.21, -4.08, -0.25, -0.23, -0.10, 24.30, 23.25, -67.05
13874, 14.74, 990.04, 195.03, 8.00, 34.75, 169.50, 4.20, -1.63, -8.84, 4.20, -1.63, -8.84, 4.20, -1.63, -8.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -4.42, -0.54, -10.48, 0.08, 0.82, -0.11, 24.15, 21.90, -67.20
13918, 14.74, 990.05, 194.99, 7.69, 32.94, 169.94, 5.65, -1.79, -7.52, 5.65, -1.79, -7.52, 4.42, -1.27, -10.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -3.95, -0.09, -9.95, 0.10, 0.96, -0.03, 24.15, 21.90, -67.20
13968, 14.74, 990.05, 194.98, 7.31, 30.69, 170.25, 3.41, -1.47, -9.12, 3.41, -1.47, -9.12, 4.97, -2.59, -7.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -4.53, -0.62, -8.55, -0.18, -0.04, -0.14, 21.00, 20.55, -71.55
14012, 14.74, 990.05, 194.97, 6.75, 29.75, 170.37, 4.05, -2.70, -9.15, 4.05, -2.70, -9.15, 4.05, -2.70, -9.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, -4.04, -0.00, -9.49, 0.00, 0.01, -0.00, 21.00, 20.55, -71.55
14058, 14.74, 990.05, 194.97, 6.75, 29.94, 170.37, 4.31, -1.81, -8.93, 4.31, -1.81, -8.93, 4.29, -1.81, -8.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -4.89, 0.18, -8.64, 0.02, -0.09, 0.04, 19.65, 22.80, -69.75
14109, 14.74, 990.05, 195.01, 6.87, 30.31, 170.25, 4.63, -1.65, -8.92, 4.63, -1.65, -8.92, 4.62, -1.78, -9.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -4.88, 0.61, -9.37, 0.01, -0.46, -0.01, 19.65, 22.80, -69.75
14152, 14.73, 990.04, 195.06, 7.00, 31.75, 170.00, 4.62, -1.06, -9.35, 4.62, -1.06, -9.35, 4.62, -1.06, -9.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -5.04, 0.51, -8.15, -0.04, -0.91, -0.04, 21.45, 21.30, -71.55
14202, 14.73, 990.04, 195.04, 7.12, 34.31, 169.50, 5.12, -1.42, -8.52, 5.12, -1.42, -8.52, 5.12, -1.42, -8.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -5.40, -0.12, -8.37, 0.01, -0.73, 0.02, 21.45, 21.30, -71.55
14248, 14.73, 990.05, 195.00, 7.31, 35.94, 169.25, 5.77, -1.69, -7.88, 5.77, -1.69, -7.88, 5.77, -1.69, -7.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, -5.97, 0.28, -7.96, -0.04, -0.52, -0.14, 24.90, 22.65, -69.00
14297, 14.73, 990.05, 195.00, 7.00, 37.50, 169.19, 5.47, -1.69, -8.72, 5.47, -1.69, -8.72, 5.47, -1.69, -8.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, -5.94, 0.29, -7.40, -0.08, -0.35, -0.22, 24.90, 22.65, -69.00
