time [ms], BMP temp [degC], BMP pres [], BMP alt [], BNO x [deg], BNO y [deg], BNO z [deg], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
15546, 23.42, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.94, 5.11, 5.73, 0.02, 0.00, 0.00, -2.10, -2.85, 16.95
15588, 23.42, 998.71, 121.78, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.95, 5.18, 5.76, -0.00, 0.01, 0.00, -2.10, -3.30, 17.25
15627, 23.43, 998.71, 121.80, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.94, 5.15, 5.77, 0.02, -0.00, -0.00, -2.10, -3.30, 17.25
15667, 23.43, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -6.00, 5.15, 5.72, 0.01, 0.00, 0.00, -2.10, -3.30, 17.25
15706, 23.44, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -5.99, 5.18, 5.79, 0.01, 0.01, 0.01, -2.10, -3.30, 17.25
15753, 23.44, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.40, -5.95, 5.14, 5.71, 0.00, 0.00, 0.00, -2.10, -3.30, 17.25
15792, 23.44, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.91, 5.14, 5.77, 0.00, 0.00, 0.00, -3.15, -2.55, 16.95
15832, 23.45, 998.71, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.19, 5.77, 0.01, 0.01, 0.01, -3.15, -2.55, 16.95
15871, 23.45, 998.71, 121.77, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.94, 5.14, 5.77, 0.01, 0.00, 0.00, -3.00, -2.70, 15.60
15907, 23.46, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.94, 5.14, 5.77, 0.01, 0.00, 0.00, -3.00, -2.70, 15.60
15946, 23.46, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.99, 5.19, 5.79, 0.01, 0.01, 0.01, -3.00, -2.70, 15.60
15987, 23.46, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.94, 5.12, 5.76, 0.01, 0.00, 0.00, -2.40, -2.85, 16.50
16034, 23.46, 998.72, 121.69, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.96, 5.17, 5.73, 0.01, 0.01, -0.00, -2.40, -2.85, 16.50
16074, 23.46, 998.72, 121.69, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.93, 5.17, 5.76, 0.01, 0.01, -0.00, -3.15, -3.60, 17.55
16112, 23.47, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.96, 5.10, 5.73, 0.02, 0.01, 0.01, -3.15, -3.60, 17.55
16152, 23.47, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.99, 5.16, 5.76, 0.01, 0.01, -0.00, -3.15, -3.60, 17.55
16190, 23.47, 998.72, 121.67, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -5.96, 5.12, 5.79, 0.01, 0.00, 0.00, -3.15, -3.30, 16.95
16229, 23.47, 998.73, 121.64, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.96, 5.11, 5.72, 0.01, 0.01, 0.01, -3.15, -3.30, 16.95
16276, 23.47, 998.72, 121.66, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.98, 5.12, 5.77, 0.01, 0.00, 0.00, -2.70, -1.95, 17.10
16316, 23.47, 998.73, 121.61, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.94, 5.11, 5.75, 0.01, 0.00, 0.00, -2.70, -1.95, 17.10
16355, 23.47, 998.73, 121.61, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.97, 5.12, 5.75, 0.01, 0.00, 0.01, -2.70, -1.95, 17.10
16396, 23.47, 998.72, 121.67, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -5.97, 5.16, 5.71, 0.01, 0.01, 0.00, -2.70, -1.95, 17.10
16440, 23.47, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.97, 5.07, 5.78, 0.01, 0.01, 0.00, -2.70, -1.95, 17.10
16479, 23.47, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.99, 5.13, 5.73, 0.01, 0.01, 0.00, -2.70, -1.95, 17.10
16519, 23.47, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.92, 5.13, 5.71, 0.01, 0.01, 0.00, -2.70, -1.95, 17.10
16564, 23.48, 998.72, 121.66, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.17, 5.73, 0.01, 0.00, 0.00, -4.20, -2.55, 17.55
16602, 23.48, 998.73, 121.64, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.96, 5.15, 5.77, 0.00, 0.01, 0.00, -4.20, -2.55, 17.55
16638, 23.48, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.96, 5.15, 5.77, 0.00, 0.01, 0.00, -4.20, -2.55, 17.55
16679, 23.48, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.97, 5.10, 5.75, 0.01, 0.01, 0.00, -3.75, -2.40, 17.40
16719, 23.48, 998.72, 121.69, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.98, 5.14, 5.72, 0.01, 0.01, 0.00, -3.75, -2.40, 17.40
16758, 23.48, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.98, 5.16, 5.81, 0.02, 0.01, 0.00, -3.75, -2.40, 17.40
16799, 23.48, 998.71, 121.78, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.99, 5.17, 5.77, 0.01, 0.01, 0.00, -3.00, -4.95, 17.85
16844, 23.48, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.97, 5.15, 5.75, 0.01, 0.01, 0.00, -3.00, -4.95, 17.85
16883, 23.48, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -5.94, 5.14, 5.76, 0.01, 0.01, -0.00, -2.85, -3.60, 17.55
16921, 23.48, 998.71, 121.74, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.98, 5.14, 5.73, 0.01, 0.01, 0.00, -2.85, -3.60, 17.55
16963, 23.48, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.95, 5.14, 5.75, 0.01, 0.00, 0.00, -2.85, -3.60, 17.55
17001, 23.48, 998.73, 121.62, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -6.02, 5.11, 5.78, 0.01, 0.01, 0.01, -4.05, -2.70, 17.85
17041, 23.48, 998.72, 121.65, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -5.97, 5.17, 5.69, 0.01, 0.01, 0.00, -4.05, -2.70, 17.85
17081, 23.48, 998.73, 121.63, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.94, 5.12, 5.70, 0.00, 0.01, 0.00, -4.05, -2.70, 17.85
17127, 23.48, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.94, 5.16, 5.73, 0.01, 0.00, 0.00, -4.05, -2.70, 17.85
17165, 23.48, 998.72, 121.67, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.96, 5.11, 5.73, 0.01, 0.00, 0.00, -4.05, -2.70, 17.85
17204, 23.48, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.96, 5.13, 5.76, 0.01, 0.01, 0.00, -4.05, -2.70, 17.85
17243, 23.48, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -5.99, 5.13, 5.74, 0.00, 0.01, 0.00, -4.05, -2.70, 17.85
17283, 23.48, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.98, 5.17, 5.78, 0.01, 0.01, 0.00, -3.75, -3.15, 18.15
17322, 23.48, 998.71, 121.80, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -6.03, 5.13, 5.81, 0.01, 0.01, 0.00, -3.75, -3.15, 18.15
17367, 23.49, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.92, 5.18, 5.74, 0.01, 0.01, 0.00, -2.70, -3.45, 16.35
17405, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -6.00, 5.14, 5.77, 0.01, 0.01, 0.00, -2.70, -3.45, 16.35
17444, 23.49, 998.71, 121.78, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -6.01, 5.13, 5.74, 0.01, 0.00, 0.00, -2.70, -3.45, 16.35
17483, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.97, 5.09, 5.75, 0.01, 0.01, 0.01, -1.95, -4.65, 18.15
17525, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.95, 5.11, 5.74, 0.01, 0.00, 0.00, -1.95, -4.65, 18.15
17564, 23.49, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -5.99, 5.15, 5.75, 0.00, 0.01, 0.01, -1.95, -4.65, 18.15
17603, 23.49, 998.71, 121.74, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -5.94, 5.09, 5.78, 0.01, 0.01, 0.01, -3.15, -2.55, 16.95
17650, 23.49, 998.71, 121.78, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.98, 5.16, 5.80, 0.00, 0.01, 0.00, -3.15, -2.55, 16.95
17691, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -6.00, 5.18, 5.79, 0.00, 0.01, 0.01, -2.85, -3.30, 17.55
17730, 23.49, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.98, 5.15, 5.74, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
17777, 23.49, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.99, 5.17, 5.76, 0.01, 0.00, 0.00, -2.85, -3.30, 17.55
17815, 23.49, 998.71, 121.74, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -5.97, 5.13, 5.72, 0.01, 0.00, 0.01, -2.85, -3.30, 17.55
17854, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -6.00, 5.11, 5.75, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
17894, 23.49, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.97, 5.08, 5.78, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
17940, 23.49, 998.72, 121.67, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.94, 5.16, 5.76, 0.01, 0.01, -0.00, -2.85, -3.30, 17.55
17978, 23.49, 998.72, 121.66, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 25.07, -6.00, 5.15, 5.76, 0.01, 0.01, 0.00, -3.00, -1.20, 17.40
18017, 23.49, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.98, 5.13, 5.80, 0.01, 0.01, 0.01, -3.00, -1.20, 17.40
18057, 23.49, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.95, 5.16, 5.83, 0.01, 0.01, 0.00, -3.00, -1.20, 17.40
18096, 23.49, 998.71, 121.77, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.93, 5.16, 5.78, 0.00, 0.01, 0.01, -2.85, -1.80, 17.25
18135, 23.49, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -6.01, 5.14, 5.79, 0.01, 0.01, 0.00, -2.85, -1.80, 17.25
18180, 23.49, 998.71, 121.76, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.93, 5.12, 5.79, 0.01, 0.01, -0.00, -3.15, -2.55, 16.20
18219, 23.49, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.96, 5.17, 5.75, 0.01, 0.01, 0.01, -3.15, -2.55, 16.20
18258, 23.49, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -6.02, 5.14, 5.76, 0.01, 0.01, 0.00, -3.15, -2.55, 16.20
18305, 23.49, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.96, 5.18, 5.76, 0.01, 0.01, 0.00, -3.15, -2.55, 17.55
18346, 23.49, 998.72, 121.70, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.93, 5.17, 5.76, 0.00, 0.01, -0.00, -3.15, -2.55, 17.55
18386, 23.48, 998.71, 121.74, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -6.02, 5.16, 5.79, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
18426, 23.48, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.98, 5.12, 5.73, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
18471, 23.48, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.40, -5.95, 5.16, 5.74, 0.01, 0.01, 0.01, -2.85, -3.30, 17.55
18509, 23.48, 998.72, 121.67, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -5.95, 5.09, 5.71, 0.00, 0.01, 0.00, -2.85, -3.30, 17.55
18548, 23.48, 998.73, 121.60, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.19, 5.72, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
18587, 23.48, 998.73, 121.63, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.14, 5.77, 0.01, 0.01, 0.00, -2.85, -3.30, 17.55
18628, 23.48, 998.72, 121.69, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.98, 5.14, 5.75, 0.01, 0.00, -0.00, -2.85, -3.30, 17.55
18673, 23.48, 998.72, 121.69, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.92, 5.16, 5.77, 0.00, 0.01, 0.01, -3.75, -2.70, 17.10
18710, 23.48, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.97, 5.17, 5.73, 0.01, 0.01, -0.00, -3.75, -2.70, 17.10
18757, 23.48, 998.71, 121.74, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.14, 5.74, 0.01, 0.00, -0.00, -3.75, -2.70, 17.10
18797, 23.48, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.97, 5.16, 5.75, 0.01, 0.01, 0.01, -3.60, -2.10, 16.50
18837, 23.48, 998.72, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -6.00, 5.16, 5.75, 0.01, 0.01, 0.00, -3.60, -2.10, 16.50
18878, 23.48, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.97, 5.16, 5.77, 0.01, 0.00, 0.00, -3.60, -4.35, 17.25
18918, 23.48, 998.70, 121.81, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -6.00, 5.13, 5.76, 0.00, 0.01, 0.00, -3.60, -4.35, 17.25
18958, 23.48, 998.71, 121.80, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.95, 5.15, 5.77, 0.00, 0.00, 0.00, -3.60, -4.35, 17.25
18998, 23.48, 998.70, 121.84, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -6.02, 5.13, 5.73, 0.01, 0.01, 0.01, -3.60, -1.35, 15.45
19045, 23.48, 998.71, 121.77, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -6.00, 5.39, 5.58, 0.09, 0.26, 0.33, -3.60, -1.35, 15.45
19082, 23.48, 998.71, 121.75, 343.81, 14.81, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -5.95, 6.00, 4.69, -0.22, -0.03, -0.06, -2.85, -1.05, 17.25
19124, 23.48, 998.71, 121.76, 343.75, 14.75, -177.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.97, 4.89, 6.01, -0.39, -0.37, -0.33, -2.85, -1.05, 17.25
19166, 23.48, 998.71, 121.80, 343.75, 15.06, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -6.00, 4.57, 6.44, 0.32, 0.28, 0.24, -2.85, -1.05, 17.25
19206, 23.48, 998.71, 121.80, 343.75, 15.00, -177.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -6.00, 5.42, 5.59, -0.87, -0.54, -0.32, -2.85, -1.05, 17.25
19247, 23.48, 998.70, 121.84, 343.25, 15.13, -177.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -4.01, 2.66, 7.03, -0.13, -0.66, -0.14, -2.85, -1.05, 17.25
19292, 23.48, 998.71, 121.78, 342.06, 14.88, -178.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -5.25, 3.39, 6.90, -0.71, -0.62, 0.11, -2.85, -1.05, 17.25
19330, 23.48, 998.71, 121.75, 342.06, 14.44, -178.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -9.01, 7.68, 5.42, 1.44, 0.20, 0.44, -2.85, -1.05, 17.25
19370, 23.48, 998.71, 121.73, 342.62, 14.19, -178.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.63, 3.34, 6.28, -0.26, 0.14, 0.25, -2.85, -1.05, 17.25
19409, 23.48, 998.71, 121.74, 342.87, 14.06, -178.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -4.97, 4.36, 5.75, 0.42, -0.24, -0.16, -5.10, -5.40, 18.45
19450, 23.48, 998.71, 121.79, 343.12, 13.63, -178.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -6.69, 5.14, 6.05, -0.09, 0.23, -0.61, -5.10, -5.40, 18.45
19490, 23.48, 998.71, 121.78, 345.19, 14.31, -178.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.91, 3.87, 6.58, 1.07, 1.28, 0.74, -6.45, -7.35, 18.00
19527, 23.48, 998.71, 121.78, 345.00, 15.38, -177.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.06, 6.54, 5.56, -0.04, 0.24, 0.68, -6.45, -7.35, 18.00
19573, 23.48, 998.71, 121.78, 347.00, 14.75, -177.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -6.92, 5.15, 7.69, -1.64, -0.72, 0.03, -6.45, -7.35, 18.00
19611, 23.48, 998.70, 121.82, 348.87, 16.44, -179.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.33, 5.45, 6.45, -1.73, -1.10, -0.75, -6.75, -8.10, 15.90
19650, 23.48, 998.71, 121.78, 349.31, 19.81, 178.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.02, 2.78, 7.47, -1.00, -0.60, -0.62, -6.75, -8.10, 15.90
19691, 23.48, 998.70, 121.82, 348.69, 23.12, 176.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 25.07, -4.80, 2.62, 7.83, -1.10, -0.85, -0.36, -11.55, -16.35, 15.15
19730, 23.48, 998.71, 121.80, 347.75, 25.12, 174.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.40, 2.41, 7.04, 0.41, 0.48, 0.42, -11.55, -16.35, 15.15
19770, 23.48, 998.70, 121.87, 350.56, 24.75, 170.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -4.78, 3.26, 9.28, -1.80, -1.39, 0.14, -11.55, -16.35, 15.15
19810, 23.48, 998.70, 121.87, 349.94, 24.31, 167.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -4.59, 2.72, 7.80, -0.60, -1.13, 0.53, -12.00, -17.70, 15.60
19857, 23.49, 998.70, 121.89, 349.50, 25.06, 167.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -3.91, 3.10, 8.15, -0.72, -1.46, 0.28, -12.00, -17.70, 15.60
19895, 23.48, 998.70, 121.86, 351.31, 28.31, 166.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -3.50, 2.23, 9.01, -0.87, -1.50, 0.37, -12.00, -17.70, 15.60
19933, 23.48, 998.70, 121.88, 356.00, 33.75, 161.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -2.94, 1.82, 9.22, -1.16, -1.81, 0.28, -12.00, -17.70, 15.60
19974, 23.48, 998.70, 121.82, 0.19, 39.31, 159.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -2.16, 1.68, 9.13, -0.61, -1.42, 0.18, -12.00, -17.70, 15.60
20012, 23.48, 998.70, 121.81, 1.25, 40.94, 159.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 25.07, -1.72, 1.41, 9.45, -0.40, -0.75, -0.25, -12.00, -17.70, 15.60
20052, 23.49, 998.71, 121.80, 1.12, 38.25, 160.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -1.56, 1.21, 9.13, -0.23, -0.33, -0.08, -12.00, -17.70, 15.60
20099, 23.49, 998.70, 121.86, 356.94, 33.19, 163.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -1.60, 1.19, 9.63, -0.12, 0.04, 0.01, -28.80, -27.45, 8.70
20136, 23.49, 998.70, 121.86, 356.06, 33.25, 163.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -1.69, 1.42, 10.04, -0.31, -0.16, 0.16, -28.80, -27.45, 8.70
20175, 23.49, 998.70, 121.89, 358.87, 35.81, 160.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -1.73, 1.15, 9.65, -0.39, -0.51, 0.32, -28.80, -27.45, 8.70
20213, 23.49, 998.70, 121.87, 2.19, 37.50, 158.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -1.45, 1.25, 9.48, -0.47, -0.70, 0.25, -28.95, -28.05, 7.95
20253, 23.49, 998.70, 121.87, 3.25, 37.94, 158.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -1.00, 0.64, 9.52, -0.41, -0.80, 0.23, -28.95, -28.05, 7.95
20293, 23.49, 998.70, 121.82, 2.31, 37.69, 160.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.58, 0.60, 9.80, 0.11, -0.25, 0.20, -32.70, -29.70, 7.35
20331, 23.49, 998.70, 121.87, 0.88, 36.94, 161.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -1.08, 1.04, 10.13, 0.03, -0.13, -0.03, -32.70, -29.70, 7.35
20376, 23.49, 998.70, 121.88, 2.94, 35.56, 159.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.74, 0.76, 9.49, -0.03, -0.09, 0.04, -32.70, -29.70, 7.35
20414, 23.49, 998.70, 121.85, 3.87, 36.81, 158.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -0.80, 0.91, 9.84, -0.39, -0.23, -0.03, -31.20, -29.25, 6.90
20456, 23.49, 998.70, 121.86, 4.00, 38.25, 158.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -0.57, 0.60, 10.02, -0.17, -0.11, 0.05, -31.20, -29.25, 6.90
20496, 23.49, 998.69, 121.90, 4.44, 37.56, 158.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -0.63, 0.35, 9.87, 0.01, -0.04, 0.11, -31.80, -31.05, 6.90
20536, 23.49, 998.70, 121.88, 4.44, 36.06, 157.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.98, -0.58, 0.60, 9.82, 0.05, -0.10, 0.08, -31.80, -31.05, 6.90
